case,dice_mean,dice_wt,dice_tc,dice_et,iou_mean,iou_wt,iou_tc,iou_et
BraTS-GLI-00823-000_real_label_31,0.772001,0.961510,0.436336,0.918156,0.684539,0.925874,0.279047,0.848696
BraTS-GLI-00823-000_real_label_35,0.685358,0.968861,0.243852,0.843361,0.602536,0.939602,0.138856,0.729148
BraTS-GLI-00823-000_real_label_36,0.744005,0.962615,0.365770,0.903630,0.658648,0.927924,0.223818,0.824202
BraTS-GLI-00823-000_real_label_37,0.746612,0.956908,0.398488,0.884440,0.653006,0.917376,0.248820,0.792821
BraTS-GLI-00823-000_real_label_39,0.691219,0.958749,0.270585,0.844322,0.602604,0.920766,0.156461,0.730586
BraTS-GLI-00823-000_real_label_40,0.698299,0.956083,0.299104,0.839709,0.605139,0.915862,0.175851,0.723706
BraTS-GLI-00823-000_real_label_41,0.568671,0.762209,0.252736,0.691068,0.429464,0.615782,0.144647,0.527963
BraTS-GLI-00823-000_real_label_46,0.775905,0.962533,0.468390,0.896792,0.682161,0.927772,0.305815,0.812894
BraTS-GLI-00823-000_real_label_47,0.727626,0.965972,0.334860,0.882047,0.641422,0.934183,0.201100,0.788984
BraTS-GLI-00823-000_real_label_50,0.704368,0.964004,0.396172,0.752929,0.593761,0.930509,0.247016,0.603757
BraTS-GLI-00823-000_real_label_51,0.759266,0.964982,0.419293,0.893523,0.668376,0.932334,0.265257,0.807538
BraTS-GLI-00823-000_real_label_52,0.680027,0.960051,0.230408,0.849623,0.597312,0.923170,0.130204,0.738560
BraTS-GLI-00823-000_real_label_59,0.732383,0.949183,0.404186,0.843780,0.628778,0.903281,0.253279,0.729774
BraTS-GLI-00823-000_real_label_63,0.743930,0.959757,0.397225,0.874808,0.649313,0.922628,0.247836,0.777475
BraTS-GLI-00823-000_real_label_65,0.695979,0.947084,0.306865,0.833989,0.598659,0.899486,0.181240,0.715250
BraTS-GLI-00823-000_real_label_66,0.768966,0.960478,0.443780,0.902639,0.677227,0.923962,0.285165,0.822555
BraTS-GLI-00823-000_real_label_67,0.687132,0.954010,0.265997,0.841389,0.597223,0.912064,0.153401,0.726205
BraTS-GLI-00823-000_real_label_68,0.689931,0.951640,0.288028,0.830126,0.595190,0.907741,0.168243,0.709585
BraTS-GLI-00823-000_real_label_7,0.747364,0.960224,0.386430,0.895438,0.657883,0.923490,0.239487,0.810672
BraTS-GLI-00823-000_real_label_70,0.696553,0.955807,0.340789,0.793064,0.592612,0.915355,0.205392,0.657089
BraTS-GLI-00823-000_real_label_71,0.771431,0.959542,0.446898,0.907854,0.680411,0.922231,0.287745,0.831256
BraTS-GLI-00823-000_real_label_73,0.748137,0.958342,0.406686,0.879384,0.653331,0.920016,0.255245,0.784732
BraTS-GLI-00823-000_real_label_74,0.732451,0.965843,0.366770,0.864740,0.640073,0.933941,0.224567,0.761711
BraTS-GLI-00823-000_real_label_77,0.758329,0.955023,0.417975,0.901990,0.666532,0.913918,0.264203,0.821476
BraTS-GLI-00823-000_real_label_78,0.694709,0.954348,0.300265,0.829513,0.599342,0.912682,0.176654,0.708690
BraTS-GLI-00823-000_real_label_79,0.741758,0.956126,0.382656,0.886491,0.649553,0.915940,0.236595,0.796124
BraTS-GLI-00823-000_real_label_80,0.716542,0.962168,0.314638,0.872819,0.629374,0.927095,0.186689,0.774337
BraTS-GLI-00823-000_real_label_81,0.800669,0.969516,0.498634,0.933857,0.716293,0.940836,0.332121,0.875922
BraTS-GLI-00823-000_real_label_84,0.814803,0.967755,0.535593,0.941061,0.730649,0.937525,0.365740,0.888683
BraTS-GLI-00823-000_real_label_85,0.724878,0.969201,0.348616,0.856818,0.633617,0.940242,0.211105,0.749503
BraTS-GLI-00823-000_real_label_86,0.765304,0.960853,0.458743,0.876317,0.667386,0.924656,0.297642,0.779861
BraTS-GLI-00823-000_real_label_87,0.679838,0.942238,0.241693,0.855584,0.591953,0.890784,0.137458,0.747616
BraTS-GLI-00823-000_real_label_88,0.727042,0.935773,0.400646,0.844706,0.620321,0.879298,0.250505,0.731161
BraTS-GLI-00823-000_real_label_89,0.734949,0.949900,0.401648,0.853301,0.633335,0.904580,0.251289,0.744136
BraTS-GLI-00823-000_real_label_9,0.717498,0.954436,0.345644,0.852413,0.621520,0.912842,0.208930,0.742787
BraTS-GLI-00823-000_real_label_92,0.788284,0.972593,0.461330,0.930930,0.705752,0.946648,0.299824,0.870785
BraTS-GLI-00823-000_real_label_94,0.718115,0.962685,0.343315,0.848346,0.623973,0.928055,0.207230,0.736633
